Problem Names,-1=>-2,False=>-2,False=>-1,True=>-2,True=>-1,True=>False
interview/1181,0,0,0,0,0,0
interview/1587,0,0,0,0,0,0
competition/2346,0,0,1,0,0,0
competition/2044,0,0,0,0,0,0
introductory/4023,0,0,0,0,0,0
competition/2029,0,0,0,0,0,0
interview/1377,0,1,0,0,0,0
introductory/4028,0,0,0,0,0,0
interview/1933,0,0,0,0,0,0
interview/1908,0,0,0,0,0,0
interview/0118,0,0,0,0,0,0
interview/1799,0,0,0,0,0,0
introductory/2392,0,0,0,0,0,0
competition/2143,0,0,0,0,0,0
interview/0990,0,0,0,0,0,0
interview/1239,0,1,0,0,0,0
interview/1231,0,0,0,0,0,0
introductory/3031,0,0,0,0,0,0
introductory/4025,0,0,0,0,0,0
interview/1236,0,0,0,0,0,0
interview/1345,0,0,1,0,0,0
interview/0024,0,0,0,0,0,0
competition/2248,0,0,1,0,0,0
introductory/2399,1,0,0,0,0,0
interview/1053,0,0,0,0,0,0
introductory/4078,0,0,0,0,0,0
introductory/4047,0,0,0,0,0,0
interview/1044,0,0,0,0,0,0
introductory/2569,0,0,0,0,0,0
interview/0351,0,0,0,0,0,0
introductory/2367,0,0,0,0,0,0
introductory/4079,0,0,0,0,0,0
interview/1410,1,0,0,0,0,0
competition/2191,0,0,0,0,0,1
competition/2033,0,0,15,0,0,0
interview/0205,0,0,0,0,0,0
interview/1398,0,0,0,0,0,0
competition/2091,0,0,0,0,0,0
interview/0015,0,0,0,0,0,0
introductory/4018,0,0,0,0,0,0
competition/2210,0,0,0,0,0,0
introductory/4008,0,0,0,0,0,0
introductory/4165,0,0,0,0,0,0
competition/2359,0,0,0,0,0,1
introductory/3029,0,0,0,0,0,0
introductory/4172,0,0,0,0,0,0
introductory/4070,0,0,0,0,0,0
competition/2255,0,0,0,0,0,0
competition/2096,0,0,0,0,0,0
introductory/4022,0,0,0,0,0,0
introductory/3006,0,0,0,0,0,0
interview/1578,0,0,0,0,0,0
interview/1430,0,0,0,0,0,0
competition/2236,0,4,0,1,0,0
interview/1591,0,0,0,0,0,0
interview/0048,0,0,0,0,0,0
interview/0007,0,0,0,0,0,0
introductory/4153,0,0,0,0,0,0
introductory/2363,0,0,0,0,0,0
introductory/4135,0,0,0,0,0,0
competition/2311,0,0,0,0,0,0
introductory/4067,0,0,0,0,0,0
